Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
Title,Location,Price,Area,Number_of_Rooms,Furnished,Kitchen type,Status,Garden surface,Swimming Pool
House for sale,6060 — Charleroi,"€179,000",3 bedrooms | 181 m² ,3 bedrooms,No,Installed,Good,150 m² ,Yes
House for sale,7700 — Mouscron,"€179,000",3 bedrooms | 128 m² ,3 bedrooms,No,Installed,Just renovated,150 m² ,Yes
House for sale,Nieuwerkerken-dorp 84,"€179,000",2 bedrooms,2 bedrooms,No,Installed,To renovate,150 m² ,Yes
House for sale,Rue Gregoire Soupart 32,"€189,000",6 bedrooms | 200 m² ,6 bedrooms,No,Semi equipped,Good,150 m² ,Yes
House for sale,Rue Henri-Koch 8,"€190,000",3 bedrooms,3 bedrooms,No,Semi equipped,Good,150 m² ,Yes
House for sale,Draversstraat 17,"€195,000",2 bedrooms | 70 m² ,2 bedrooms,No,Semi equipped,Just renovated,150 m² ,Yes
House for sale,Dokter de Moorstraat 51,"€195,000",3 bedrooms | 105 m² ,3 bedrooms,No,Installed,Good,150 m² ,Yes
Mixed-use building for sale,Belvaux 15,"€199,000",2 bedrooms,2 bedrooms,No,Installed,Good,82 m² ,Yes
House for sale,5500 — FALMIGNOUL,"€199,000",3 bedrooms | 145 m² ,3 bedrooms,No,Hyper equipped,Good,82 m² ,Yes
Apartment block for sale,RUE DE LA FONTAINE 1/3,"€199,000",3 bedrooms,3 bedrooms,No,Semi equipped,Good,82 m² ,Yes
House for sale,Rue du Marche 1-3,"€199,000",2 bedrooms | 300 m² ,2 bedrooms,No,Not installed,To be done up,82 m² ,No
Apartment block for sale,Rue du Marche 1-3,"€199,000",2 bedrooms | 300 m² ,2 bedrooms,No,Not installed,To be done up,82 m² ,No
House for sale,Lisseweegse Steenweg 141,"€199,000",4 bedrooms | 122 m² ,4 bedrooms,No,Semi equipped,To be done up,28 m² ,No
House for sale,Restert 65,"€199,000",2 bedrooms | 123 m² ,2 bedrooms,No,Semi equipped,To be done up,28 m² ,No
House for sale,Tivolistra?e 44,"€200,000",4 bedrooms,4 bedrooms,No,Semi equipped,To be done up,28 m² ,No
House for sale,7332 — SIRAULT,"€200,000",3 bedrooms | 136 m² ,3 bedrooms,No,Semi equipped,To restore,28 m² ,No
Apartment block for sale,5500 — Bouvignes-sur-Meuse,"€210,000",4 bedrooms | 138 m² ,4 bedrooms,No,Semi equipped,To be done up,28 m² ,No
Villa for sale,Oostmalsesteenweg 295,"€635,000",4 bedrooms | 326 m² ,4 bedrooms,No,Semi equipped,To be done up,900 m² ,No
Villa for sale,Laar 196,"€599,900",4 bedrooms | 165 m² ,4 bedrooms,No,Semi equipped,To be done up,751 m² ,No
