Title,Location,Price,Area,Number_of_Rooms,Furnished,Kitchen type,Status,Garden surface,Swimming Pool
Apartment block for sale,1050 — Ixelles,"€850,000",3 bedrooms | 356 m² ,3 bedrooms,No,Hyper equipped,Just renovated,110 m² ,No
House for sale,"Graaf Jansdijk 107,","€860,000",3 bedrooms | 166 m² ,3 bedrooms,No,Hyper equipped,Good,110 m² ,No
Exceptional property for sale,7911 — Buissenal,"€875,000",4 bedrooms | 357 m² ,4 bedrooms,No,Installed,Good,110 m² ,No
Villa for sale,2880 — Bornem,"€879,000",3 bedrooms | 265 m² ,3 bedrooms,No,Hyper equipped,Good,110 m² ,Yes
House for sale,Graaf Jansdijk 260,"€972,000",6 bedrooms | 220 m² ,6 bedrooms,No,Hyper equipped,Good,110 m² ,Yes
Villa for sale,3090 — Overijse,"€1,060",4 bedrooms | 335 m² ,4 bedrooms,No,Hyper equipped,Good,110 m² ,Yes
Villa for sale,1410 — Waterloo,"€1,080",5 bedrooms | 333 m² ,5 bedrooms,No,Hyper equipped,As new,110 m² ,Yes
Country house for sale,Kerkgate 27,"€1,100",4 bedrooms | 270 m² ,4 bedrooms,No,Hyper equipped,Good,110 m² ,Yes
Villa for sale,Brugse Steenweg 183,"€1,100",5 bedrooms | 443 m² ,5 bedrooms,No,Installed,Good,110 m² ,No
Mixed-use building for sale,1180 — Uccle,"€1,150",3 bedrooms | 260 m² ,3 bedrooms,No,Hyper equipped,As new,50 m² ,No
Farmhouse for sale,"Rue Maubray 141,","€1,150",7 bedrooms | 550 m² ,7 bedrooms,No,Installed,Good,50 m² ,No
Villa for sale,"Lindelaan 1,","€1,295",3 bedrooms | 300 m² ,3 bedrooms,No,Installed,As new,50 m² ,No
Villa for sale,Presendestraat 1a,"€1,345",4 bedrooms | 370 m² ,4 bedrooms,No,Installed,As new,50 m² ,No
Villa for sale,2970 — Schilde,"€1,350",4 bedrooms | 350 m² ,4 bedrooms,No,Installed,As new,50 m² ,No
Villa for sale,Beekvijverdreef 7,"€1,395",6 bedrooms | 640 m² ,6 bedrooms,No,Installed,As new,50 m² ,No
Villa for sale,8300 — Knokke,"€1,425",4 bedrooms | 180 m² ,4 bedrooms,No,Installed,Good,50 m² ,No
Villa for sale,Elizabetlaan 309,"€1,775",8 bedrooms | 350 m² ,8 bedrooms,No,Installed,Just renovated,50 m² ,No
Villa for sale,8300 — Knokke-Heist Knokke,"€1,900",11 bedrooms | 535 m² ,11 bedrooms,No,Installed,Good,50 m² ,No
Villa for sale,Joseph Smeetslaan 199,"€1,995",4 bedrooms | 770 m² ,4 bedrooms,No,Installed,As new,50 m² ,No
House for sale,"Bergstraat 8,","€3,300",3 bedrooms,3 bedrooms,No,Installed,Good,50 m² ,No
House for sale,Rue Maurice Brohée 164,"€85,000",2 bedrooms | 129 m² ,2 bedrooms,No,Installed,Good,182 m² ,No
Bungalow for sale,Grand Route 12,"€220,000",2 bedrooms | 121 m² ,2 bedrooms,No,USA installed,To renovate,182 m² ,No
House for sale,Stoelstraat 5,"€395,000",2 bedrooms | 106 m² ,2 bedrooms,No,Hyper equipped,Good,182 m² ,No
Castle for sale,7543 — Tournai Mourcourt,"€1,495",5 bedrooms | 691 m² ,5 bedrooms,No,Installed,As new,18000 m² ,No
House for sale,Gentstraat 101,"€349,000",2 bedrooms,2 bedrooms,No,Installed,As new,18000 m² ,No
House for sale,Pater Domstraat 16/W3,"€410,000",4 bedrooms | 161 m² ,4 bedrooms,No,Installed,As new,18000 m² ,No
House for sale,Kastanjelaan 6,"€619,000",6 bedrooms | 304 m² ,6 bedrooms,No,Installed,As new,18000 m² ,No
House for sale,Elsenstraat 12,"€215,000",3 bedrooms | 166 m² ,3 bedrooms,No,Installed,To be done up,18000 m² ,No
Villa for sale,Oostmalsesteenweg 295,"€635,000",4 bedrooms | 326 m² ,4 bedrooms,No,Installed,To be done up,900 m² ,No
Villa for sale,Laar 196,"€599,900",4 bedrooms | 165 m² ,4 bedrooms,No,Installed,To be done up,751 m² ,No
Mansion for sale,1030 — Schaerbeek,"€729,000",8 bedrooms | 411 m² ,8 bedrooms,No,Installed,Good,751 m² ,No
Apartment for sale,1370 — Jodoigne,"€150,000",1 bedroom | 68 m² ,1 bedroom,No,Hyper equipped,To be done up,751 m² ,No
Penthouse for sale,Kustlaan 111 Box 6/7,"€2,795",3 bedrooms | 226 m² ,3 bedrooms,No,Hyper equipped,As new,751 m² ,Yes
Mixed-use building for sale,9120 — Beveren-Waas,"€362,500",4 bedrooms,4 bedrooms,No,Installed,Just renovated,751 m² ,Yes
Villa for sale,"smalle heerweg 87,","€492,000",2 bedrooms,2 bedrooms,No,Semi equipped,To renovate,751 m² ,Yes
Apartment block for sale,1300 — Wavre,"€650,000",4 bedrooms | 255 m² ,4 bedrooms,No,Semi equipped,To renovate,751 m² ,Yes
Town-house for sale,Mgr. Roelensstraat 6,"€245,000",3 bedrooms | 162 m² ,3 bedrooms,No,Installed,To renovate,751 m² ,No
Town-house for sale,Mgr. Roelensstraat 6,"€245,000",3 bedrooms | 170 m² ,3 bedrooms,No,Installed,To renovate,751 m² ,No
House for sale,Hamstraat 41,"€266,275",3 bedrooms | 130 m² ,3 bedrooms,No,Installed,To renovate,751 m² ,No
House for sale,Nieuwstraat,"€280,500",3 bedrooms | 145 m² ,3 bedrooms,No,Installed,To renovate,751 m² ,No
Apartment block for sale,Nieuwenhovedreef 35,"€305,500",2 bedrooms | 100 m² ,2 bedrooms,No,Hyper equipped,To renovate,751 m² ,No
House for sale,Reepstraat 22,"€329,000",4 bedrooms | 201 m² ,4 bedrooms,No,Hyper equipped,To renovate,165 m² ,No
House for sale,Staakstraat 38A,"€329,950",3 bedrooms,3 bedrooms,No,Installed,To renovate,165 m² ,No
House for sale,Vinkenhof 4,"€360,976",3 bedrooms | 163 m² ,3 bedrooms,No,Installed,To renovate,405 m² ,No
House for sale,Vinkenhof 7,"€361,599",3 bedrooms | 163 m² ,3 bedrooms,No,Installed,To renovate,405 m² ,No
House for sale,Vinkenhof 6,"€364,173",3 bedrooms | 163 m² ,3 bedrooms,No,Installed,To renovate,405 m² ,No
